Huffman baseline results
Input: experiment/data/sherlock_ascii.txt
Symbols: 362308
Alphabet size: 81
Empirical entropy: 4.1703 bits/symbol
Huffman avg bits/symbol: 4.2004
Raw size (bits): 2898464
Compressed size (bits): 1521826
Compression ratio (compressed/raw): 0.5250 (savings 47.50%)
Min code length: 2
Max code length: 19

Code table (symbol -> bits [len]):
  -> 10 [2]
a -> 0100 [4]
e -> 1111 [4]
h -> 0001 [4]
i -> 0000 [4]
n -> 0010 [4]
o -> 0101 [4]
t -> 0111 [4]
d -> 01101 [5]
l -> 00111 [5]
r -> 11100 [5]
s -> 11011 [5]
c -> 110010 [6]
f -> 110000 [6]
g -> 001101 [6]
m -> 110100 [6]
p -> 001100 [6]
u -> 111011 [6]
w -> 110001 [6]
y -> 011001 [6]
, -> 1101010 [7]
. -> 1110100 [7]
b -> 1100111 [7]
v -> 0110001 [7]
I -> 11101010 [8]
k -> 11101011 [8]
H -> 110101101 [9]
S -> 011000011 [9]
T -> 110011010 [9]
W -> 011000001 [9]
- -> 1100110000 [10]
? -> 1101011111 [10]
A -> 1101011000 [10]
B -> 1101011110 [10]
C -> 0110000100 [10]
D -> 0110000000 [10]
M -> 1100110010 [10]
x -> 1100110111 [10]
! -> 11001100011 [11]
E -> 11001101101 [11]
F -> 01100000011 [11]
G -> 11001100111 [11]
L -> 11010110011 [11]
N -> 11010111001 [11]
O -> 11001100110 [11]
P -> 01100001011 [11]
Y -> 11010111010 [11]
j -> 11010110010 [11]
q -> 11001101100 [11]
1 -> 110011000101 [12]
R -> 110101110111 [12]
_ -> 011000010100 [12]
z -> 110101110001 [12]
: -> 0110000001000 [13]
; -> 1100110001001 [13]
J -> 0110000101010 [13]
U -> 1101011101101 [13]
V -> 0110000001010 [13]
" -> 11010111000000 [14]
( -> 11001100010001 [14]
) -> 11001100010000 [14]
* -> 01100000010110 [14]
0 -> 11010111011000 [14]
2 -> 11010111000010 [14]
3 -> 01100001010110 [14]
4 -> 01100001010111 [14]
7 -> 01100000010011 [14]
8 -> 11010111000011 [14]
' -> 011000000100100 [15]
5 -> 110101110110011 [15]
6 -> 110101110110010 [15]
9 -> 011000000101110 [15]
K -> 110101110000011 [15]
Q -> 011000000100101 [15]
/ -> 1101011100000101 [16]
[ -> 0110000001011110 [16]
] -> 0110000001011111 [16]
X -> 11010111000001000 [17]
$ -> 110101110000010011 [18]
# -> 1101011100000100101 [19]
% -> 1101011100000100100 [19]
